[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:07:17 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[04-Sep-2020 10:07:19 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 10
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 11
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 12
[05-Sep-2020 07:33:27 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 13
[05-Sep-2020 07:33:28 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 8
[05-Sep-2020 07:33:28 UTC] PHP Warning:  Use of undefined constant LPDOMAIN - assumed 'LPDOMAIN' (this will throw an Error in a future version of PHP) in /Users/navdeepsingh/Projects/wp-learning/wp-content/plugins/Custom Post Types/post-types/register.php on line 9
